"MachineName","Message","NumberOfBytes","ObservationTime","Path","PathNote","SiteUrl"
"DANNYK.ESRI.COM","Size measured in 42793.6375 ms",4189272110,"2025/07/28 17:22:55","c:\arcgisportal\content","CONTENT","https://dannyk.esri.com:7443/arcgis"
"DANNYK.ESRI.COM","Size measured in 1423.9119 ms",34845243,"2025/07/28 17:23:38","c:\arcgisportal\index","INDEX","https://dannyk.esri.com:7443/arcgis"
"DANNYK.ESRI.COM","Size measured in 1544.7858 ms",171768276,"2025/07/28 17:23:40","c:\arcgisportal\db","DB","https://dannyk.esri.com:7443/arcgis"
"DANNYK.ESRI.COM","Size measured in 1327.2505 ms","","2025/07/28 17:23:41","c:\arcgisportal\temp","TEMP","https://dannyk.esri.com:7443/arcgis"
"DANNYK.ESRI.COM","Size measured in 1402.6845 ms",534414,"2025/07/28 17:23:43","c:\arcgisportal\logs\","LOGS","https://dannyk.esri.com:7443/arcgis"
"DANNYK.ESRI.COM","Size measured in 1411.3574 ms",261138964,"2025/07/28 17:23:45","E:\arcgisserver\logs\","LOGS","https://dannyk.esri.com:6443/arcgis"
"DANNYK.ESRI.COM","Size measured in 1336.3919 ms",0,"2025/07/28 17:23:47","\\dannyk.esri.com\arcgisservershare\arcgisserver\serverdirectories\directories\arcgissystem\kml","KML","https://dannyk.esri.com:6443/arcgis"
"DANNYK.ESRI.COM","Size measured in 1673.3685 ms",105596590,"2025/07/28 17:23:48","\\dannyk.esri.com\arcgisservershare\arcgisserver\serverdirectories\directories\arcgissystem\arcgisinput","INPUT","https://dannyk.esri.com:6443/arcgis"
"DANNYK.ESRI.COM","Size measured in 2161.049 ms",10684083,"2025/07/28 17:23:50","\\dannyk.esri.com\arcgisservershare\arcgisserver\config-store","CONFIG-STORE","https://dannyk.esri.com:6443/arcgis"
"DANNYK.ESRI.COM","Size measured in 1408.408 ms",146613,"2025/07/28 17:23:52","\\dannyk.esri.com\arcgisservershare\arcgisserver\serverdirectories\directories\arcgisjobs","JOBS","https://dannyk.esri.com:6443/arcgis"
"DANNYK.ESRI.COM","Size measured in 1755.0521 ms",137166503,"2025/07/28 17:23:53","\\dannyk.esri.com\arcgisservershare\arcgisserver\serverdirectories\directories\arcgissystem","SYSTEM","https://dannyk.esri.com:6443/arcgis"
"DANNYK.ESRI.COM","Size measured in 1640.7657 ms",3359141,"2025/07/28 17:23:55","\\dannyk.esri.com\arcgisservershare\arcgisserver\serverdirectories\directories\arcgisoutput","OUTPUT","https://dannyk.esri.com:6443/arcgis"
"DANNYK.ESRI.COM","Size measured in 1336.0749 ms",316,"2025/07/28 17:23:57","\\dannyk.esri.com\arcgisservershare\arcgisserver\serverdirectories\directories\arcgissystem\arcgisjobregistry","JOBREGISTRY","https://dannyk.esri.com:6443/arcgis"
"DANNYK.ESRI.COM","Size measured in 1340.0874 ms",0,"2025/07/28 17:23:58","\\dannyk.esri.com\arcgisservershare\arcgisserver\serverdirectories\directories\arcgissystem\arcgisindex","INDEX","https://dannyk.esri.com:6443/arcgis"
